ticks per second: 3.0
[MESSAGE(S) SENT] | Global Time - 01:44:22.387585 | Receiver(s) - [0] | Clock Time - 429
[INTERNAL] | Global Time - 01:44:22.726083 | No Messages Sent | Clock Time - 430
[INTERNAL] | Global Time - 01:44:23.065724 | No Messages Sent | Clock Time - 431
[INTERNAL] | Global Time - 01:44:23.403913 | No Messages Sent | Clock Time - 432
[MESSAGE(S) SENT] | Global Time - 01:44:23.742511 | Receiver(s) - [0, 1] | Clock Time - 433
[MESSAGE(S) SENT] | Global Time - 01:44:24.080986 | Receiver(s) - [1] | Clock Time - 434
[INTERNAL] | Global Time - 01:44:24.418588 | No Messages Sent | Clock Time - 435
[MESSAGE RECEIVED] | Global Time - 01:44:24.757977 | Queue Length - 1 | Clock Time - 444
[MESSAGE RECEIVED] | Global Time - 01:44:25.095501 | Queue Length - 1 | Clock Time - 445
[MESSAGE RECEIVED] | Global Time - 01:44:25.434492 | Queue Length - 1 | Clock Time - 446
[MESSAGE RECEIVED] | Global Time - 01:44:25.772414 | Queue Length - 0 | Clock Time - 448
[MESSAGE RECEIVED] | Global Time - 01:44:26.107660 | Queue Length - 0 | Clock Time - 453
[INTERNAL] | Global Time - 01:44:26.446624 | No Messages Sent | Clock Time - 454
[INTERNAL] | Global Time - 01:44:26.783892 | No Messages Sent | Clock Time - 455
[MESSAGE(S) SENT] | Global Time - 01:44:27.122196 | Receiver(s) - [0] | Clock Time - 456
[INTERNAL] | Global Time - 01:44:27.459229 | No Messages Sent | Clock Time - 457
[INTERNAL] | Global Time - 01:44:27.797005 | No Messages Sent | Clock Time - 458
[MESSAGE RECEIVED] | Global Time - 01:44:28.134562 | Queue Length - 0 | Clock Time - 464
[MESSAGE RECEIVED] | Global Time - 01:44:28.473770 | Queue Length - 0 | Clock Time - 466
[MESSAGE RECEIVED] | Global Time - 01:44:28.813040 | Queue Length - 1 | Clock Time - 467
[MESSAGE RECEIVED] | Global Time - 01:44:29.148829 | Queue Length - 0 | Clock Time - 468
[MESSAGE RECEIVED] | Global Time - 01:44:29.488486 | Queue Length - 1 | Clock Time - 471
[MESSAGE RECEIVED] | Global Time - 01:44:29.827711 | Queue Length - 0 | Clock Time - 472
[INTERNAL] | Global Time - 01:44:30.164755 | No Messages Sent | Clock Time - 473
[MESSAGE RECEIVED] | Global Time - 01:44:30.501944 | Queue Length - 0 | Clock Time - 477
[INTERNAL] | Global Time - 01:44:30.839138 | No Messages Sent | Clock Time - 478
[MESSAGE(S) SENT] | Global Time - 01:44:31.175305 | Receiver(s) - [0] | Clock Time - 479
[MESSAGE(S) SENT] | Global Time - 01:44:31.513815 | Receiver(s) - [0] | Clock Time - 480
[INTERNAL] | Global Time - 01:44:31.851128 | No Messages Sent | Clock Time - 481
[MESSAGE(S) SENT] | Global Time - 01:44:32.191210 | Receiver(s) - [0] | Clock Time - 482
[INTERNAL] | Global Time - 01:44:32.529790 | No Messages Sent | Clock Time - 483
[MESSAGE(S) SENT] | Global Time - 01:44:32.868107 | Receiver(s) - [0] | Clock Time - 484
[INTERNAL] | Global Time - 01:44:33.206918 | No Messages Sent | Clock Time - 485
[INTERNAL] | Global Time - 01:44:33.545785 | No Messages Sent | Clock Time - 486
[MESSAGE RECEIVED] | Global Time - 01:44:33.882153 | Queue Length - 0 | Clock Time - 497
[INTERNAL] | Global Time - 01:44:34.216860 | No Messages Sent | Clock Time - 498
[MESSAGE(S) SENT] | Global Time - 01:44:34.555477 | Receiver(s) - [0, 1] | Clock Time - 499
[MESSAGE RECEIVED] | Global Time - 01:44:34.893132 | Queue Length - 0 | Clock Time - 504
[INTERNAL] | Global Time - 01:44:35.229400 | No Messages Sent | Clock Time - 505
[INTERNAL] | Global Time - 01:44:35.567832 | No Messages Sent | Clock Time - 506
[MESSAGE RECEIVED] | Global Time - 01:44:35.904772 | Queue Length - 0 | Clock Time - 509
[MESSAGE RECEIVED] | Global Time - 01:44:36.243986 | Queue Length - 0 | Clock Time - 511
[INTERNAL] | Global Time - 01:44:36.579386 | No Messages Sent | Clock Time - 512
[MESSAGE(S) SENT] | Global Time - 01:44:36.913950 | Receiver(s) - [1] | Clock Time - 513
[INTERNAL] | Global Time - 01:44:37.248495 | No Messages Sent | Clock Time - 514
[INTERNAL] | Global Time - 01:44:37.582725 | No Messages Sent | Clock Time - 515
[MESSAGE(S) SENT] | Global Time - 01:44:37.921146 | Receiver(s) - [0] | Clock Time - 516
[MESSAGE(S) SENT] | Global Time - 01:44:38.261164 | Receiver(s) - [0, 1] | Clock Time - 517
[INTERNAL] | Global Time - 01:44:38.599162 | No Messages Sent | Clock Time - 518
[MESSAGE RECEIVED] | Global Time - 01:44:38.938303 | Queue Length - 0 | Clock Time - 526
[MESSAGE RECEIVED] | Global Time - 01:44:39.275311 | Queue Length - 0 | Clock Time - 528
[INTERNAL] | Global Time - 01:44:39.613040 | No Messages Sent | Clock Time - 529
[INTERNAL] | Global Time - 01:44:39.951831 | No Messages Sent | Clock Time - 530
[MESSAGE(S) SENT] | Global Time - 01:44:40.291546 | Receiver(s) - [0, 1] | Clock Time - 531
[MESSAGE RECEIVED] | Global Time - 01:44:40.629338 | Queue Length - 0 | Clock Time - 537
[INTERNAL] | Global Time - 01:44:40.967914 | No Messages Sent | Clock Time - 538
[MESSAGE(S) SENT] | Global Time - 01:44:41.305541 | Receiver(s) - [0, 1] | Clock Time - 539
[MESSAGE RECEIVED] | Global Time - 01:44:41.644452 | Queue Length - 0 | Clock Time - 543
[INTERNAL] | Global Time - 01:44:41.982152 | No Messages Sent | Clock Time - 544
[MESSAGE(S) SENT] | Global Time - 01:44:42.319233 | Receiver(s) - [1] | Clock Time - 545
[INTERNAL] | Global Time - 01:44:42.657687 | No Messages Sent | Clock Time - 546
[INTERNAL] | Global Time - 01:44:42.994576 | No Messages Sent | Clock Time - 547
[INTERNAL] | Global Time - 01:44:43.332829 | No Messages Sent | Clock Time - 548
[INTERNAL] | Global Time - 01:44:43.667281 | No Messages Sent | Clock Time - 549
[INTERNAL] | Global Time - 01:44:44.005519 | No Messages Sent | Clock Time - 550
[MESSAGE RECEIVED] | Global Time - 01:44:44.343657 | Queue Length - 0 | Clock Time - 558
[MESSAGE(S) SENT] | Global Time - 01:44:44.680497 | Receiver(s) - [0, 1] | Clock Time - 559
