ticks per second: 2.0
[MESSAGE RECEIVED] | Global Time - 01:48:30.794621 | Queue Length - 0 | Clock Time - 460
[MESSAGE(S) SENT] | Global Time - 01:48:31.300778 | Receiver(s) - [0] | Clock Time - 461
[INTERNAL] | Global Time - 01:48:31.806902 | No Messages Sent | Clock Time - 462
[MESSAGE RECEIVED] | Global Time - 01:48:32.313182 | Queue Length - 0 | Clock Time - 469
[MESSAGE(S) SENT] | Global Time - 01:48:32.817876 | Receiver(s) - [0, 2] | Clock Time - 470
[MESSAGE RECEIVED] | Global Time - 01:48:33.320715 | Queue Length - 1 | Clock Time - 472
[MESSAGE RECEIVED] | Global Time - 01:48:33.826569 | Queue Length - 0 | Clock Time - 475
[INTERNAL] | Global Time - 01:48:34.331854 | No Messages Sent | Clock Time - 476
[MESSAGE RECEIVED] | Global Time - 01:48:34.837073 | Queue Length - 0 | Clock Time - 477
[INTERNAL] | Global Time - 01:48:35.340344 | No Messages Sent | Clock Time - 478
[MESSAGE RECEIVED] | Global Time - 01:48:35.844179 | Queue Length - 0 | Clock Time - 488
[MESSAGE(S) SENT] | Global Time - 01:48:36.348880 | Receiver(s) - [2] | Clock Time - 489
[MESSAGE(S) SENT] | Global Time - 01:48:36.852957 | Receiver(s) - [2] | Clock Time - 490
[MESSAGE(S) SENT] | Global Time - 01:48:37.357177 | Receiver(s) - [2] | Clock Time - 491
[INTERNAL] | Global Time - 01:48:37.862822 | No Messages Sent | Clock Time - 492
[INTERNAL] | Global Time - 01:48:38.367545 | No Messages Sent | Clock Time - 493
[MESSAGE RECEIVED] | Global Time - 01:48:38.872225 | Queue Length - 0 | Clock Time - 502
[MESSAGE RECEIVED] | Global Time - 01:48:39.377707 | Queue Length - 0 | Clock Time - 508
[MESSAGE RECEIVED] | Global Time - 01:48:39.882990 | Queue Length - 0 | Clock Time - 513
[INTERNAL] | Global Time - 01:48:40.387335 | No Messages Sent | Clock Time - 514
[INTERNAL] | Global Time - 01:48:40.889206 | No Messages Sent | Clock Time - 515
[INTERNAL] | Global Time - 01:48:41.393108 | No Messages Sent | Clock Time - 516
[MESSAGE(S) SENT] | Global Time - 01:48:41.898437 | Receiver(s) - [0, 2] | Clock Time - 517
[MESSAGE(S) SENT] | Global Time - 01:48:42.403718 | Receiver(s) - [0] | Clock Time - 518
[MESSAGE RECEIVED] | Global Time - 01:48:42.906883 | Queue Length - 1 | Clock Time - 530
[MESSAGE RECEIVED] | Global Time - 01:48:43.409946 | Queue Length - 0 | Clock Time - 531
[MESSAGE RECEIVED] | Global Time - 01:48:43.916277 | Queue Length - 0 | Clock Time - 535
[MESSAGE RECEIVED] | Global Time - 01:48:44.418438 | Queue Length - 0 | Clock Time - 536
[MESSAGE RECEIVED] | Global Time - 01:48:44.922194 | Queue Length - 0 | Clock Time - 538
[MESSAGE RECEIVED] | Global Time - 01:48:45.425503 | Queue Length - 1 | Clock Time - 543
[MESSAGE RECEIVED] | Global Time - 01:48:45.931291 | Queue Length - 1 | Clock Time - 544
[MESSAGE RECEIVED] | Global Time - 01:48:46.436519 | Queue Length - 1 | Clock Time - 548
[MESSAGE RECEIVED] | Global Time - 01:48:46.938024 | Queue Length - 0 | Clock Time - 550
[MESSAGE(S) SENT] | Global Time - 01:48:47.439741 | Receiver(s) - [0, 2] | Clock Time - 551
[MESSAGE RECEIVED] | Global Time - 01:48:47.944405 | Queue Length - 0 | Clock Time - 559
[MESSAGE RECEIVED] | Global Time - 01:48:48.448238 | Queue Length - 0 | Clock Time - 562
[MESSAGE RECEIVED] | Global Time - 01:48:48.951877 | Queue Length - 0 | Clock Time - 564
[INTERNAL] | Global Time - 01:48:49.456187 | No Messages Sent | Clock Time - 565
[MESSAGE RECEIVED] | Global Time - 01:48:49.959735 | Queue Length - 0 | Clock Time - 571
[INTERNAL] | Global Time - 01:48:50.465578 | No Messages Sent | Clock Time - 572
[MESSAGE RECEIVED] | Global Time - 01:48:50.967985 | Queue Length - 1 | Clock Time - 576
[MESSAGE RECEIVED] | Global Time - 01:48:51.470418 | Queue Length - 2 | Clock Time - 577
[MESSAGE RECEIVED] | Global Time - 01:48:51.975422 | Queue Length - 2 | Clock Time - 579
[MESSAGE RECEIVED] | Global Time - 01:48:52.478162 | Queue Length - 2 | Clock Time - 580
[MESSAGE RECEIVED] | Global Time - 01:48:52.980117 | Queue Length - 1 | Clock Time - 583
[MESSAGE RECEIVED] | Global Time - 01:48:53.483023 | Queue Length - 1 | Clock Time - 585
[MESSAGE RECEIVED] | Global Time - 01:48:53.984169 | Queue Length - 2 | Clock Time - 590
[MESSAGE RECEIVED] | Global Time - 01:48:54.485919 | Queue Length - 1 | Clock Time - 594
[MESSAGE RECEIVED] | Global Time - 01:48:54.991690 | Queue Length - 0 | Clock Time - 595
[INTERNAL] | Global Time - 01:48:55.498698 | No Messages Sent | Clock Time - 596
[INTERNAL] | Global Time - 01:48:56.005707 | No Messages Sent | Clock Time - 597
[MESSAGE RECEIVED] | Global Time - 01:48:56.511504 | Queue Length - 1 | Clock Time - 606
[MESSAGE RECEIVED] | Global Time - 01:48:57.013157 | Queue Length - 1 | Clock Time - 609
[MESSAGE RECEIVED] | Global Time - 01:48:57.515288 | Queue Length - 0 | Clock Time - 612
[MESSAGE RECEIVED] | Global Time - 01:48:58.020932 | Queue Length - 0 | Clock Time - 618
[MESSAGE(S) SENT] | Global Time - 01:48:58.526813 | Receiver(s) - [0, 2] | Clock Time - 619
[MESSAGE RECEIVED] | Global Time - 01:48:59.033653 | Queue Length - 1 | Clock Time - 624
[MESSAGE RECEIVED] | Global Time - 01:48:59.539300 | Queue Length - 1 | Clock Time - 625
[MESSAGE RECEIVED] | Global Time - 01:49:00.044480 | Queue Length - 0 | Clock Time - 628
[MESSAGE RECEIVED] | Global Time - 01:49:00.545249 | Queue Length - 0 | Clock Time - 633
[MESSAGE(S) SENT] | Global Time - 01:49:01.047711 | Receiver(s) - [2] | Clock Time - 634
[MESSAGE RECEIVED] | Global Time - 01:49:01.552072 | Queue Length - 0 | Clock Time - 639
[MESSAGE RECEIVED] | Global Time - 01:49:02.056797 | Queue Length - 0 | Clock Time - 641
[INTERNAL] | Global Time - 01:49:02.560902 | No Messages Sent | Clock Time - 642
[MESSAGE RECEIVED] | Global Time - 01:49:03.065973 | Queue Length - 1 | Clock Time - 646
[MESSAGE RECEIVED] | Global Time - 01:49:03.570412 | Queue Length - 1 | Clock Time - 648
[MESSAGE RECEIVED] | Global Time - 01:49:04.074297 | Queue Length - 0 | Clock Time - 649
[MESSAGE(S) SENT] | Global Time - 01:49:04.578205 | Receiver(s) - [0, 2] | Clock Time - 650
[MESSAGE RECEIVED] | Global Time - 01:49:05.082870 | Queue Length - 1 | Clock Time - 659
[MESSAGE RECEIVED] | Global Time - 01:49:05.586917 | Queue Length - 0 | Clock Time - 660
[MESSAGE RECEIVED] | Global Time - 01:49:06.091561 | Queue Length - 2 | Clock Time - 664
[MESSAGE RECEIVED] | Global Time - 01:49:06.594321 | Queue Length - 3 | Clock Time - 665
[MESSAGE RECEIVED] | Global Time - 01:49:07.098943 | Queue Length - 3 | Clock Time - 666
[MESSAGE RECEIVED] | Global Time - 01:49:07.600576 | Queue Length - 3 | Clock Time - 667
[MESSAGE RECEIVED] | Global Time - 01:49:08.105599 | Queue Length - 2 | Clock Time - 668
[MESSAGE RECEIVED] | Global Time - 01:49:08.611002 | Queue Length - 1 | Clock Time - 669
